"sex","weightm","weightf","weight","age","agef","agem","fid","mid"
"F",NA,NA,59,28.3500003814697,NA,NA,"fejkx","ca23o"
"M",54.7000007629395,NA,57.2999992370605,21.5,NA,27.5400009155273,"ky2u8","dsh1i"
"M",53.5,NA,72.6999969482422,35.0800018310547,NA,45.0499992370605,"suhmb","fz3us"
"F",NA,NA,48.4000015258789,32.689998626709,NA,NA,NA,"fvap6"
"F",NA,NA,54.2000007629395,19.1499996185303,NA,NA,"ygjn3","ad8hh"
"F",55,NA,51.4000015258789,35.1300010681152,NA,48.7999992370605,"s8nap","czlvb"
"M",NA,NA,60,46.5800018310547,NA,NA,NA,NA
"F",NA,NA,42.2000007629395,31.7199993133545,NA,NA,"lb091","qcu02"
"M",NA,49.5999984741211,54.5,21,49,NA,"ef4y1","spfdc"
"F",NA,NA,48.4000015258789,45.2700004577637,NA,NA,NA,NA
"F",45.2000007629395,NA,46.0999984741211,20.8299999237061,NA,45.439998626709,"ioo1b","j4ojf"
"F",51.5,NA,59.0999984741211,26.7700004577637,NA,55.7400016784668,"a7uto","upcv6"
"F",NA,NA,39.9000015258789,18.6900005340576,NA,NA,"ib7t1","nor19"
"F",NA,NA,52,27.7000007629395,NA,NA,NA,NA
"F",NA,NA,46.7000007629395,57.0999984741211,NA,NA,NA,NA
"F",NA,NA,51.2999992370605,29.1000003814697,NA,NA,"uu3wq","kj1ve"
"F",NA,NA,51.2999992370605,23.6700000762939,NA,NA,"rk2so","jqrnh"
"M",61.9000015258789,NA,59.5999984741211,25.5799999237061,NA,65.9199981689453,NA,"sm7el"
"F",49.7000007629395,NA,73.0999984741211,28.6200008392334,NA,52.5900001525879,"vvypn","ti50g"
"M",NA,NA,56.7000007629395,18.5799999237061,NA,NA,"kc5kn",NA
"F",NA,NA,50,20.3299999237061,NA,NA,"yuymj","lcmgf"
"F",64.8000030517578,NA,73.6999969482422,23.9699993133545,NA,47.2900009155273,"y9s0u","iqr67"
"F",NA,NA,53.4000015258789,19.6900005340576,NA,NA,"qreuh","jqbu5"
"F",48.7000007629395,NA,61.2000007629395,33.7000007629395,NA,70.5800018310547,NA,"kjq0p"
"M",NA,NA,48.5999984741211,46.7200012207031,NA,NA,"lb091","qcu02"
"F",39.9000015258789,NA,45.7000007629395,20.7199993133545,NA,35.7999992370605,"dphiv","v2jdc"
"F",NA,NA,49.2000007629395,23.3999996185303,NA,NA,NA,NA
"F",NA,NA,56.5999984741211,26.7199993133545,NA,NA,"tybze",NA
"F",68.4000015258789,57.9000015258789,61.7000007629395,25.7000007629395,59.5800018310547,46,"dwl6w","rk2wq"
"M",NA,NA,73.4000015258789,50.5800018310547,NA,NA,NA,NA
"F",NA,NA,54.2999992370605,31.1100006103516,NA,NA,"r8e1e","sx05d"
"M",58.2000007629395,56.7999992370605,62.7999992370605,22.5799999237061,50.5800018310547,39.7000007629395,"pzwgx","lpod4"
"F",49.2999992370605,NA,48.4000015258789,21.4899997711182,NA,34.6800003051758,NA,"fbuhp"
"F",NA,NA,50.5,53.7000007629395,NA,NA,NA,NA
"F",NA,NA,43.0999984741211,24.6900005340576,NA,NA,NA,"fvap6"
"F",NA,NA,54,26.6900005340576,NA,NA,"f6pzh","h5vso"
"F",48.7000007629395,NA,60.7999992370605,29.7000007629395,NA,70.5800018310547,NA,"kjq0p"
"F",NA,NA,59.0999984741211,23.6900005340576,NA,NA,NA,NA
"F",NA,NA,53.2999992370605,60.7000007629395,NA,NA,NA,NA
"F",49.7999992370605,NA,60.2000007629395,20.5799999237061,NA,46.3199996948242,NA,"is34d"
"F",NA,NA,55.2999992370605,34.2000007629395,NA,NA,NA,NA
"F",NA,NA,49.5999984741211,32.7000007629395,NA,NA,NA,NA
"F",72.5,NA,53,24.5799999237061,NA,47.6199989318848,"i3vpl","k5bqm"
"F",64.8000030517578,NA,66.5999984741211,26.5300006866455,NA,47.2900009155273,"y9s0u","iqr67"
"F",52.7999992370605,NA,53.0999984741211,21.7199993133545,NA,47.0699996948242,"bfnpu","ejefe"
"F",NA,NA,71.0999984741211,25.25,NA,NA,"wqzsi","quqlz"
"M",42.0999984741211,NA,53.9000015258789,24.3299999237061,NA,43.7099990844727,"lvrm3","eeuya"
"F",NA,NA,46.9000015258789,23.7000007629395,NA,NA,"m46ia","svt8x"
