"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp","hh"
"xm2ez",1,64.2099990844727,3,NA,NA,NA,NA,NA,NA,NA,3916
"ts2a0",0,62.9300003051758,3,NA,NA,NA,NA,NA,NA,NA,508
"pgks8",1,23.3299999237061,3,"ph63r",48.3699989318848,NA,"zjxl1",52.9599990844727,NA,8,2533
"rc3in",0,47.810001373291,5,NA,NA,NA,NA,NA,NA,NA,3617
"qunjm",0,17.25,4,NA,NA,NA,NA,NA,NA,NA,1637
"vi7kz",0,70.7399978637695,1,NA,NA,NA,NA,NA,NA,NA,512
"okzie",1,59.060001373291,6,"c3iwv",82.4000015258789,NA,"es2sc",75.8000030517578,NA,5,3711
"kfqv7",1,53.1500015258789,5,NA,NA,NA,NA,NA,NA,NA,3715
"leafi",1,34.4500007629395,2,"xk07y",67.6800003051758,NA,"fwvrh",67.2699966430664,NA,2,4618
"d60a0",1,73.4899978637695,6,NA,NA,NA,NA,NA,NA,NA,3601
"snmrt",1,72.4199981689453,5,NA,NA,NA,NA,NA,NA,NA,617
"vxij2",0,36.3199996948242,2,"fmftw",65.9599990844727,NA,"ul4ot",87.75,81.9199981689453,1,1608
"vq5c1",1,52.6399993896484,5,NA,NA,NA,NA,NA,NA,NA,3823
"uqv5u",0,55.2799987792969,4,NA,NA,NA,NA,NA,NA,NA,4806
"c16ic",0,52,3,NA,NA,NA,NA,NA,NA,NA,4522
"am4fu",0,64.120002746582,7,NA,NA,NA,NA,NA,NA,NA,3803
"ehtnz",1,42.2200012207031,3,"uc2jk",77.4899978637695,NA,"l9s83",74.6100006103516,NA,5,4609
"loacx",1,38.0200004577637,6,NA,NA,NA,NA,NA,NA,NA,3812
"x4u2j",0,43.060001373291,6,NA,NA,NA,NA,NA,NA,NA,4708
"wqcsx",0,52.8199996948242,4,"kn8wg",79.0100021362305,NA,"tegaq",77.7900009155273,NA,6,4519
"dwgbs",0,43.8800010681152,7,"zg5ze",73.3300018310547,NA,"pqunc",69.3300018310547,NA,7,2608
"meaur",0,39.9000015258789,7,NA,NA,NA,NA,NA,NA,NA,4727
"ap90v",1,77.5800018310547,4,NA,NA,NA,NA,NA,NA,NA,3517
"t83rw",0,40.3899993896484,6,"t7ncg",70.2200012207031,NA,"eg5wu",70.1999969482422,69.9899978637695,5,624
"luhr3",1,27.0900001525879,2,NA,NA,NA,NA,NA,NA,NA,635
"yh6cz",1,47.9199981689453,5,"ov6in",80.1900024414062,NA,"cvbp8",74.3099975585938,NA,6,1510
"rzgkl",0,50.0299987792969,4,NA,NA,NA,NA,NA,NA,NA,3822
"pqunc",1,69.3300018310547,7,NA,NA,NA,NA,NA,NA,NA,513
"d8m3g",0,55.7000007629395,4,NA,NA,NA,NA,NA,NA,NA,3807
"eup0c",0,45.7200012207031,6,NA,NA,NA,NA,NA,NA,NA,629
"qhvk1",0,52.439998626709,5,NA,NA,NA,NA,NA,NA,NA,3715
"am3of",0,54.3600006103516,4,"beaci",84.8600006103516,NA,"ms7g7",83.9899978637695,NA,6,3506
"u5egv",0,25.8799991607666,2,NA,NA,NA,NA,NA,NA,NA,633
"sgf06",0,74.2399978637695,3,NA,NA,NA,NA,NA,NA,NA,2516
"cnwh5",0,60.9000015258789,3,NA,NA,NA,NA,NA,NA,NA,2502
"pb31r",1,42.2400016784668,4,"vimxp",76.3099975585938,59.8699989318848,"x5xx8",74.3899993896484,NA,4,4507
"s0k2y",0,55.6100006103516,7,NA,NA,NA,NA,NA,NA,NA,4509
"qnjsb",1,57.9900016784668,4,NA,NA,NA,NA,NA,NA,NA,2615
"dncd7",1,37.5999984741211,1,"zg70w",57.7200012207031,NA,"u4beq",57.0400009155273,NA,4,3509
"pn0u4",0,41.6800003051758,1,"zadva",81.4000015258789,67.2300033569336,"jt7ni",80.5999984741211,NA,1,3509
"n4m0p",0,66.129997253418,6,NA,NA,NA,NA,NA,NA,NA,3934
"b4f2j",0,49.3199996948242,2,"xh8kh",80.1100006103516,NA,"q8dpo",82.25,NA,3,607
"ywe9g",0,23.0400009155273,2,NA,NA,NA,NA,NA,NA,NA,635
"zygmt",0,50.2400016784668,2,NA,NA,NA,NA,NA,NA,NA,4719
"m8ufb",0,64.1399993896484,3,NA,NA,NA,NA,NA,NA,NA,2503
"lh2w2",0,42.6100006103516,7,NA,NA,NA,NA,NA,NA,NA,4721
"z917x",0,65.7399978637695,1,NA,NA,NA,NA,NA,NA,NA,2527
"sqza1",0,34.4900016784668,1,NA,NA,NA,NA,NA,NA,NA,2529
