"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"c8u02",0,22,NA,NA,NA,NA,"jtahy",80,1,60,55,14,FALSE
"c8ezn",0,63,2,10,14,11,"hrjso",93,2,70,150,25,FALSE
"jf42l",1,44,NA,12,6,9,NA,NA,NA,NA,NA,NA,FALSE
"zunui",1,87,2,60,45,21,NA,NA,NA,NA,NA,NA,TRUE
"jr2bf",1,55,1,16,17,9,"r6jmd",84,4,150,300,41,FALSE
"cm2z7",1,40,1,9,5,3,"hvi12",87,2,60,45,21,FALSE
"v76kk",0,39,NA,NA,NA,NA,"jtahy",80,1,60,55,14,FALSE
"ehslx",0,32,NA,6,8,5,"osgzw",66,1,40,25,10,FALSE
"yq8jp",1,31,2,7,15,8,"uzsoe",85,0,55,70,21,FALSE
"a5kno",1,50,NA,10,4,6,"imv14",76,1,45,20,9,FALSE
"jmnd7",1,32,2,7,15,6,"uzsoe",85,0,55,70,21,FALSE
"hwdcg",1,38,NA,6,3,7,"jywkv",73,0,35,20,22,FALSE
"ea93p",1,31,NA,6,5,7,NA,NA,NA,NA,NA,NA,FALSE
"ms7io",1,44,NA,14,13,5,"dd17q",68,3,125,160,26,FALSE
"t1dsm",1,90,1,12,20,23,NA,NA,NA,NA,NA,NA,TRUE
"eve73",0,50,NA,NA,NA,NA,"l3mau",92,3,75,100,29,FALSE
"w5rvj",0,34,NA,10,4,5,"ydecv",75,3,100,50,17,FALSE
"mxspw",1,53,NA,14,5,9,"uzsoe",85,0,55,70,21,FALSE
"xkw4n",1,43,NA,9,5,6,NA,NA,NA,NA,NA,NA,FALSE
"znq7t",1,38,NA,2,5,10,"uzsoe",85,0,55,70,21,FALSE
"tpuo3",0,30,NA,20,24,2,"r6jmd",84,4,150,300,41,FALSE
"qgy9u",0,21,NA,NA,NA,NA,"ty83m",71,2,35,30,24,FALSE
"xypoz",0,32,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"uycg2",1,33,NA,10,13,8,"dd17q",68,3,125,160,26,FALSE
"izo8v",1,63,3,35,31,21,NA,NA,NA,NA,NA,NA,TRUE
"sg9gl",0,36,NA,8,12,6,"yv7q5",74,0,30,33,13,FALSE
"m6uim",1,55,2,35,7,9,"d55cc",85,3,110,100,32,FALSE
"slrc5",0,32,NA,12,6,3,"t8kq8",73,3,95,120,12,FALSE
"t3j0n",1,42,NA,5,6,8,NA,NA,NA,NA,NA,NA,FALSE
"o9xpy",1,33,NA,15,5,5,"d7m1d",72,0,25,10,6,FALSE
"oh1ts",0,68,NA,6,15,7,NA,NA,NA,NA,NA,NA,TRUE
"r268o",1,33,2,10,11,1,"ydecv",75,3,100,50,17,FALSE
"t0esz",0,27,NA,NA,NA,NA,"qfdbf",79,0,20,45,23,FALSE
"hypty",1,43,NA,3,2,4,"lil7t",90,1,12,20,23,FALSE
"wuo3c",1,45,0,11,10,7,"mqo0i",90,2,110,160,31,FALSE
"f3kii",0,28,NA,NA,NA,NA,"c7ouq",79,1,30,32,20,FALSE
"tmda7",1,54,2,13,7,3,"ovmsp",84,3,70,90,24,FALSE
"d37y7",0,15,NA,NA,NA,NA,"dd17q",68,3,125,160,26,FALSE
"o4rtb",1,56,0,9,17,9,"r6jmd",84,4,150,300,41,FALSE
"xp9px",1,52,2,17,6,6,"jtahy",80,1,60,55,14,FALSE
"owm9r",1,47,NA,2,10,5,"mqo0i",90,2,110,160,31,FALSE
"mztxo",0,53,0,14,16,9,"zwhg5",83,0,20,20,14,FALSE
