"sex","land","kuniony","landf","uniony","idu"
2,80,"1782",278,1761,"VI0595"
1,0,"1794",20,1755,"GS1770"
2,9,"1753",140,1715,"GS0483"
2,0,"1798",0,1771,"PI1822"
2,0,"1771",5,1740,"PE0264"
2,3,"NA",9,1806,"PE1114"
1,15,"1812",73,1770,"LP1749"
1,0,"1794",0,1750,"PI1057"
1,9.75,"1779",74.5,1753,"FR0205"
2,110,"1765",127,1741,"PE0004"
2,0,"NA",0,1731,"PI1123"
2,153.75,"NA",73.5,1808,"GI0040"
2,182,"1861",235,1833,"EI1643"
2,121,"1837",14.5,1812,"PI2492"
2,0,"NA",160,1819,"EI1159"
1,0,"1796",8.5,1747,"PI1144"
2,37,"1813",132,1785,"CI0038"
1,4,"1867",0,1834,"EI1323"
1,0,"1749",0,1711,"GS0218"
2,0,"1796",6,1757,"CI0511"
1,146,"1788",129,1750,"UT0020"
2,0,"1776",0,1753,"GH1890"
1,0,"1796",0,1758,"PI0415"
1,0,"1792",0,1756,"PI0387"
1,94.5,"1754",116.5,1720,"EI1578"
1,0,"1791",0,1762,"PI2422"
2,0,"1775",0,1747,"PI2175"
2,0,"1784",0,1757,"FR0795"
2,193,"1786",86.5,1754,"GH0462"
1,0,"1764",0,1734,"GI0338"
2,0,"1802",0,1779,"CN0575"
2,2,"1841",7.5,1810,"GS1432"
1,0,"1777",0,1740,"GS2353"
1,0,"1769",0,1730,"EI0084"
1,10,"1730",0,1696,"GS2622"
2,51.5,"1807",90.25,1772,"GI0364"
2,7,"1836",80,1782,"VI0684"
2,11,"1724",0,1692,"GH0289"
1,10,"1803",56,1770,"PI2376"
1,0,"NA",0,1761,"PI0671"
1,0,"1793",0,1766,"GH1451"
2,8,"1841",4,1813,"PI2189"
1,5.5,"1847",19,1810,"GS0601"
2,0,"1790",0,1759,"PI1953"
1,170,"1851",46,1816,"EI0214"
1,3,"NA",16,1756,"EI1720"
1,200,"1838",146,1801,"WZ0064"
2,0,"NA",0,1750,"PI1057"
2,0,"1757",3,1723,"GS0184"
2,0,"1805",0,1771,"GS2183"
2,6,"1846",19,1810,"GS0601"
1,0,"1792",0,1747,"PI2478"
1,4,"1780",0,1730,"GH0259"
2,0,"1787",26,1735,"UT0405"
1,136.5,"1788",243,1756,"HW0186"
1,94.5,"NA",94.5,1754,"JE0062"
1,116,"1798",295,1763,"UT1766"
1,0,"1795",0,1763,"GS2171"
1,0,"1779",30,1748,"LP0368"
2,41.5,"1866",120,1826,"PI1285"
1,3,"NA",116.5,1786,"GH0688"
2,0,"1789",0,1756,"JE0532"
1,3,"NA",153.5,1786,"GH1122"
1,0,"1845",0,1801,"GS0124"
1,0,"1793",0,1752,"GI0181"
1,105,"1834",10.5,1789,"LP0078"
1,4.5,"1777",0,1735,"PI0599"
2,0,"1788",0,1764,"GI0160"
2,0,"1778",0,1749,"UT1485"
2,0,"1810",0,1780,"PI0755"
1,134.5,"1767",127,1741,"PE0004"
1,0,"1805",0,1765,"GH1330"
2,0,"1756",0,1710,"GH0510"
2,0,"1766",60,1737,"CN0345"
2,0,"1759",0,1730,"PI1309"
1,20,"1770",0,1736,"GS0295"
2,0,"1755",1,1729,"VI1109"
1,0,"1792",0,1761,"UT0432"
2,105,"1834",129,1801,"EI1634"
2,5.5,"1847",7.5,1810,"GS1432"
2,0,"1775",0,1743,"GS2805"
2,0,"1803",9.75,1779,"FR0523"
1,21,"1778",15,1741,"HW1294"
1,110,"1765",154,1733,"PE0110"
2,54,"1774",8,1744,"PE1809"
1,9,"1776",0,1737,"GS0661"
1,0,"1777",0,1732,"EI0910"
1,0,"1814",0,1781,"HI2710"
2,0,"1777",0,1734,"GS1483"
1,0,"1779",19,1735,"GS1907"
